MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Julho;2025-07-18;PJ;13;1;Direta;14;0.071
Julho;2025-07-18;TRILOG;5;1;Direta;6;0.167
Julho;2025-07-18;REU;31;3;Direta;34;0.088
Julho;2025-07-18;Riviera;3;1;Direta;4;0.25
Julho;2025-07-19;FE;23;4;LML;27;0.148
Julho;2025-07-19;DMD;16;3;LML;19;0.158
Julho;2025-07-19;Zumpy;30;2;LML;32;0.063
Julho;2025-07-19;Zoom;7;0;LML;7;0.0
Julho;2025-07-19;Assis Rio;43;5;Direta;48;0.104
Julho;2025-07-19;PJ;17;1;Direta;18;0.056
Julho;2025-07-19;TRILOG;5;0;Direta;5;0.0
Julho;2025-07-19;REU;28;2;Direta;30;0.067
Julho;2025-07-19;Riviera;3;0;Direta;3;0.0
Julho;2025-07-20;FE;0;0;LML;0;0.0
Julho;2025-07-20;DMD;0;0;LML;0;0.0
Julho;2025-07-20;Zumpy;0;0;LML;0;0.0
Julho;2025-07-20;Zoom;0;0;LML;0;0.0
Julho;2025-07-20;Assis Rio;0;0;Direta;0;0.0
Julho;2025-07-20;PJ;0;0;Direta;0;0.0
Julho;2025-07-20;TRILOG;0;0;Direta;0;0.0
Julho;2025-07-20;REU;0;0;Direta;0;0.0
Julho;2025-07-20;Riviera;0;0;Direta;0;0.0
Julho;2025-07-21;FE;33;2;LML;35;0.057
Julho;2025-07-21;DMD;28;4;LML;32;0.125
Julho;2025-07-21;Zumpy;47;4;LML;51;0.078
Julho;2025-07-21;Zoom;11;0;LML;11;0.0
Julho;2025-07-21;Assis Rio;45;1;Direta;46;0.022
Julho;2025-07-21;PJ;15;3;Direta;18;0.167
Julho;2025-07-21;TRILOG;6;2;Direta;8;0.25
Julho;2025-07-21;REU;28;2;Direta;30;0.067
Julho;2025-07-21;Riviera;7;1;Direta;8;0.125
Julho;2025-07-22;FE;35;4;LML;39;0.103
Julho;2025-07-22;DMD;20;0;LML;20;0.0
Julho;2025-07-22;Zumpy;48;4;LML;52;0.077
Julho;2025-07-22;Zoom;8;1;LML;9;0.111
Julho;2025-07-22;Assis Rio;42;4;Direta;46;0.087
Julho;2025-07-22;PJ;14;1;Direta;15;0.067
Julho;2025-07-22;TRILOG;7;2;Direta;9;0.222
Julho;2025-07-22;REU;27;2;Direta;29;0.069
Julho;2025-07-22;Riviera;6;1;Direta;7;0.143
Julho;2025-07-23;FE;37;5;LML;42;0.119
Julho;2025-07-23;DMD;25;0;LML;25;0.0
Julho;2025-07-23;Zumpy;47;4;LML;51;0.078
Julho;2025-07-23;Zoom;9;0;LML;9;0.0
Julho;2025-07-23;Assis Rio;45;3;Direta;48;0.063
Julho;2025-07-23;PJ;14;2;Direta;16;0.125
Julho;2025-07-23;TRILOG;5;0;Direta;5;0.0
Julho;2025-07-23;REU;28;2;Direta;30;0.067
Julho;2025-07-23;Riviera;4;1;Direta;5;0.2
Julho;2025-07-24;FE;37;3;LML;40;0.075
